[0] mapName,[1] mapLocation,[2] mapAccessible,[3] mapVisited,[4] encounterRate,[5] cellName,[6] cellLocation,[7] accessible,[8] gridDescription,[9] look,[10] gridItems,[11] regexSecondLevelLook,[12] secondLevelLookDescription,[13] secondLevelLookGridItems,[14] regexDeeperLookItems,[15] deeperLook,[16] digItems,Gateway,newMap,newLocation,torchVisible,cave,boatUpperDeck,boatMiddleDeck,boatLowerDeck,ellondite,shop,secondLook,visited,draw,lookArrayNumber
rifton,0,TRUE,FALSE,0,,0,FALSE,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
rifton,0,TRUE,FALSE,0,,1,FALSE,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
rifton,0,TRUE,FALSE,0,,2,FALSE,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
rifton,0,TRUE,FALSE,0,,3,FALSE,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
rifton,0,TRUE,FALSE,0,in Dr. Digby's Bio-Lab,4,TRUE,To the South is a path.,The renowned scientist - Rufus Digby - is standing by a large computer system. His assistant Dr. Tanaka is using a complex machine in the corner.,,,,,coffee:chemicals:machine,coffee_You feel a little more alert.:chemical_You decide it's unwise to go near the hazardous chemicals.,,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
rifton,0,TRUE,FALSE,0,,5,FALSE,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
rifton,0,TRUE,FALSE,0,,6,FALSE,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
rifton,0,TRUE,FALSE,0,,7,FALSE,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
rifton,0,TRUE,FALSE,0,,8,FALSE,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
rifton,0,TRUE,FALSE,0,,9,FALSE,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
rifton,0,TRUE,FALSE,0,,10,FALSE,,,,,,,,,,TRUE,2,61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
rifton,0,TRUE,FALSE,0,inside an Excavation Shack,11,TRUE,To the West is Rifton Cave. To the South is the Weapons Shop.,Two local miners - Guto and Bart - are sitting at a table covered by a complicated geological atlas and talking to each other.,,,,,atlas,atlas_The atlas shows the geology of the local area. From the key you can see that the island Rifton is situated on is formed from a mixture of sandstone and limestone with an intrusion of igneous rock underneath Rifton caves and another on Rifton beach.,,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
rifton,0,TRUE,FALSE,0,,12,FALSE,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
rifton,0,TRUE,FALSE,0,in Rifton Library,13,TRUE,To the East is a path.,Inside the library is a maze of books - some which cover topics you have studied and others with seemingly indecipherable names. There are several people reading who don't look like they wish to be disturbed. A receptionist is sitting at the front desk typing at the computer.:Inside the library is a maze of books. Walls are hidden behind endless tomes. An elderly man with a straw hat is reading a book about fertilser and its effects on crop yield. A woman with dark hair tied in a blue headscarf is reading a guidebook to Mesetra - a city far in the East. A man with oiled hair and wearing a suit is reading a complex book on biology.:Inside the library is a maze of books. Walls are hidden behind endless tomes. An elderly man with a straw hat is reading a book about fertilser and its effects on crop yield. A woman with dark hair tied in a blue headscarf is reading a guidebook to Mesetra - a city far in the East.:Inside the library is a maze of books. Walls are hidden behind endless tomes. A woman with dark hair tied in a blue headscarf is reading a guidebook to Mesetra - a city far in the East.:Inside the library is a maze of books. Walls are hidden behind endless tomes. An elderly man with a straw hat is reading a book about fertilser and its effects on crop yield.:Inside the library is a maze of books. Walls are hidden behind endless tomes. A woman with dark hair tied in a blue headscarf is reading a guidebook to Mesetra - a city far in the East. A man with oiled hair and wearing a suit is reading a complex book on biology.,,browse books:books:look at books:view books:book:browse shelves:shelves,You take a look at the books in the 'Most-Popular' section.,history of rifton village:the polluted lands:soil quality and gardening,,,,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
rifton,0,TRUE,FALSE,0,walking along a cobbled path.,14,TRUE,To the North is the Lab. To the West is the Library. To the East is a small cottage. To the South is a cobbled path.,You seem to be at the highest point in the village - aside from the canyon walls towering above you to your north. When you look directly south you can see the cliff walls decline and merge with the lowlands. Far in the distance you can just about see a glimpse of the ocean.,,,,,canyon:ocean:lowlands,canyon_Stratified rock extends towards the ocean on both sides of the canyon.:ocean_What a lovely shade of blue.:lowlands_You can see a forest and further down is a beach.,,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
rifton,0,TRUE,FALSE,0,in your House,15,TRUE,To the West is a path. To the South is Dr Tanaka's house.,Your computer is flashing with biological research. The walls are lined with shelves of books from your studies. Your room-mate - Vanya - is reading a newspaper at the kitchen table.,apple,books:book,You browse through your collection to see if there might be anything useful.,Rapid evolutionary radiations throughout history,shelves:newspaper,shelves_Dozens of books on biology and natural science are organised neatly - just as you left them.:newspaper_The newspaper is open on an article about the energy market. The headline reads 'Is BioFuel the future of Terethia's energy needs?',,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
rifton,0,TRUE,FALSE,0,,16,FALSE,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
rifton,0,TRUE,FALSE,0,,17,FALSE,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
rifton,0,TRUE,FALSE,0,,18,FALSE,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
rifton,0,TRUE,FALSE,0,,19,FALSE,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
rifton,0,TRUE,FALSE,0,,20,FALSE,,,,,,,,,,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
